 ,Area,Mean,Min,Max,X,Y
221,0.000,122,122,122,1524.483,1.491
222,0.000,162,162,162,1524.483,1.438
223,0.000,122,122,122,1536.650,1.315
224,0.000,122,122,122,1546.383,1.215
225,0.000,125,125,125,1546.383,1.138
226,0.000,251,251,251,1546.383,1.092
227,0.000,122,122,122,1558.550,1.046
228,0.000,122,122,122,1560.983,0.954
229,0.000,122,122,122,1568.283,0.862
230,0.000,122,122,122,1573.150,0.770
231,0.000,122,122,122,1582.883,0.701
232,0.000,122,122,122,1590.183,0.624
233,0.000,122,122,122,1602.350,0.501
234,0.000,122,122,122,1619.383,0.386
235,0.000,122,122,122,1612.083,0.417
236,0.000,122,122,122,1631.550,0.294
237,0.000,122,122,122,1641.283,0.225
238,0.000,122,122,122,1651.017,0.171
239,0.000,122,122,122,1658.317,0.132
240,0.000,0,0,0,1670.483,0.125
241,0.000,10,10,10,1675.350,0.217
242,0.000,122,122,122,1680.217,0.317
243,0.000,122,122,122,1682.650,0.378
244,0.000,122,122,122,1682.650,0.478
245,0.000,122,122,122,1687.517,0.539
246,0.000,122,122,122,1692.383,0.616
247,0.000,125,125,125,1709.417,0.777
248,0.000,122,122,122,1697.250,0.701
249,0.000,122,122,122,1709.417,0.816
250,0.000,122,122,122,1709.417,0.900
251,0.000,122,122,122,1709.417,0.954
252,0.000,122,122,122,1714.283,1.023
253,0.000,122,122,122,1721.583,1.107
254,0.000,122,122,122,1728.883,1.177
255,0.000,122,122,122,1728.883,1.238
256,0.000,122,122,122,1731.317,1.299
257,0.000,122,122,122,1738.617,1.369
258,0.000,122,122,122,1743.483,1.438
259,0.000,122,122,122,1753.217,1.537
260,0.000,122,122,122,1762.950,1.607
261,0.000,122,122,122,1748.350,1.499
262,0.000,156,156,156,1770.250,1.660
263,0.000,237,237,237,1779.983,1.729
264,0.000,143,143,143,1787.283,1.806
265,0.000,220,220,220,1794.583,1.837
266,0.000,117,117,117,1801.883,1.875
267,0.000,139,139,139,1818.917,1.929
268,0.000,224,224,224,1831.083,1.952
269,0.000,122,122,122,1840.817,1.975
270,0.000,122,122,122,1850.550,1.975
271,0.000,122,122,122,1855.417,1.921
272,0.000,122,122,122,1865.150,1.860
273,0.000,122,122,122,1877.317,1.752
274,0.000,122,122,122,1889.483,1.691
275,0.000,122,122,122,1889.483,1.630
276,0.000,122,122,122,1894.350,1.522
277,0.000,122,122,122,1901.650,1.468
278,0.000,122,122,122,1908.950,1.392
279,0.000,122,122,122,1913.817,1.284
280,0.000,122,122,122,1925.983,1.184
281,0.000,130,130,130,1925.983,1.100
282,0.000,122,122,122,1935.717,1.000
283,0.000,122,122,122,1945.450,0.900
284,0.000,146,146,146,1947.883,0.800
285,0.000,123,123,123,1955.183,0.724
286,0.000,122,122,122,1964.917,0.647
287,0.000,122,122,122,1974.650,0.570
288,0.000,122,122,122,1986.817,0.478
289,0.000,122,122,122,1998.983,0.393
290,0.000,143,143,143,2008.717,0.332
291,0.000,124,124,124,2018.450,0.294
292,0.000,122,122,122,2033.050,0.255
293,0.000,122,122,122,2037.917,0.363
294,0.000,135,135,135,2040.350,0.463
295,0.000,122,122,122,2045.217,0.539
296,0.000,122,122,122,2052.517,0.631
297,0.000,122,122,122,2054.950,0.731
298,0.000,122,122,122,2057.383,0.800
299,0.000,122,122,122,2062.250,0.893
300,0.000,122,122,122,2069.550,0.946
301,0.000,122,122,122,2074.417,1.023
302,0.000,122,122,122,2074.417,1.123
303,0.000,147,147,147,2076.850,1.215
304,0.000,122,122,122,2084.150,1.261
305,0.000,122,122,122,2091.450,1.407
306,0.000,122,122,122,2089.017,1.338
307,0.000,122,122,122,2093.883,1.453
308,0.000,122,122,122,2098.750,1.499
309,0.000,122,122,122,2103.617,1.583
310,0.000,154,154,154,2103.617,1.668
311,0.000,122,122,122,2115.783,1.722
312,0.000,122,122,122,2123.083,1.798
313,0.000,122,122,122,2130.383,1.906
314,0.000,122,122,122,2137.683,1.960
315,0.000,122,122,122,2142.550,1.990
